"INPC","Fecha","Año_int","Mes","Deflator"
88.2039185047178,2015-10-01,2015,10,0.648496235688631
87.7524190155658,2015-09-01,2015,9,0.645176703811884
87.4248752929864,2015-08-01,2015,8,0.642768524280667
87.2408197608029,2015-07-01,2015,7,0.641415304131244
87.1131077588797,2015-06-01,2015,6,0.640476335047971
86.9673658272733,2015-05-01,2015,5,0.639404805623531
87.4038403750225,2015-04-01,2015,4,0.642613870549304
87.6307169902037,2015-03-01,2015,3,0.644281921509
87.2753771260292,2015-02-01,2015,2,0.641669378118483
87.1101027705992,2015-01-01,2015,1,0.640454241657777
